Antarctic Ice Vol Discharge (Gigatons per year),Transformed Year,CO2 (ppmv),Temperature (Kelvin)
-2295.2,296,275.8777161582142,216.77620624168
-2435.0,306,275.71548849529114,216.7800799104541
-2319.8,316,275.5532608323681,216.7839448676996
-2424.6,326,275.3910331694451,216.78780111341638
-2353.7,336,275.22880550652206,216.7916486476045
-2351.1,346,275.066577843599,217.4
-2425.4,356,277.56766105859845,216.79931758139472
-2380.6,366,280.0687442735979,216.8031389809968
-2468.4,376,282.5698274885973,216.8069516690702
-2402.0,386,282.5333514850022,216.81075564561493
-2456.2,396,282.49687548140713,216.81455091063106
-2411.2,406,282.460399477812,216.81833746411843
-2424.8,416,282.4239234742169,216.82211530607714
-2424.3,426,282.38744747062185,216.82588443650715
-2421.4,436,282.35097146702674,216.82964485540853
-2455.9,446,282.3144954634316,216.83339656278125
-2448.7,456,282.27801945983657,216.8371395586253
-2469.9,466,282.24154345624146,216.8
-2452.2,476,282.20506745264635,216.84459941572726
-2474.6,486,282.1685914490513,216.8483162769853
-2458.0,496,282.1321154454562,216.85202442671462
-2522.4,506,282.09563944186107,216.85572386491526
-2464.7,516,282.059163438266,216.5
-2486.1,526,282.0226874346709,216.86309660673055
-2519.3,536,281.9862114310758,216.86676991034523
-2504.0,546,281.94973542748073,216.8704345024311
-2534.1,556,281.9132594238856,216.87409038298838
-2729.1,566,281.8767834202905,216.877737552017
-2606.8,576,281.84030741669545,216.88137600951694
-2574.8,586,281.80383141310034,216.88500575548818
-2610.6,596,281.7673554095052,216.8886267899308
-2552.0,606,281.7308794059102,216.6
-2539.6,616,281.69440340231506,216.8958427242299
-2554.9,626,281.65792739871995,216.89943762408646
-2571.4,636,281.6214513951249,216.90302381241435
-2584.6,646,281.5849753915298,216.90660128921357
-2596.8,656,281.54849938793467,216.91017005448407
-2609.0,666,281.5120233843396,216.91373010822593
-2636.4,676,281.4755473807445,216.91728145043913
-2620.4,686,281.4390713771494,216.8
-2635.5,696,281.40259537355433,216.92435800027948
-2649.7,706,281.3661193699592,216.9278832079066
-2658.7,716,281.3296433663641,216.93139970400512
-2716.1,726,281.29316736276905,216.93490748857496
-2710.7,736,281.25669135917394,216.93840656161612
-2725.1,746,281.22021535557883,216.94189692312855
-2766.7,756,281.1837393519838,216.94537857311235
-2783.3,766,281.14726334838866,216.94885151156748
-2846.0,776,281.11078734479355,216.95231573849387
-2863.0,786,281.0743113411985,216.95577125389167
-2773.8,796,281.0378353376034,216.95921805776075
-3047.8,806,281.00135933400827,216.9626561501012
-2842.9,816,280.9648833304132,216.96608553091295
-2846.2,826,280.9284073268181,216.96950620019598
-2972.7,836,280.891931323223,218.6
-2907.6,846,280.85545531962794,216.9763214041761
-2865.3,856,280.8189793160328,216.9797159388731
-3018.5,866,280.7825033124377,216.9831017620415
-2932.3,876,280.74602730884266,216.98647887368125
-3221.2,886,280.70955130524754,216.9898472737922
-3037.2,896,280.67307530165243,216.99320696237461
-3122.2,906,280.6365992980574,216.9965579394283
-2993.1,916,280.60012329446226,216.99990020495324
-3343.7,926,280.56364729086715,217.0032337589496
-3276.5,936,280.5271712872721,217.00655860141725
-3263.9,946,280.490695283677,217.00987473235622
-3454.9,955,280.4542192800819,217.01318215176653
-3379.5,966,280.4177432764868,217.01648085964817
-3414.0,976,280.3812672728917,217.01977085600112
-3205.2,986,280.3447912692966,217.02305214082537
-3317.8,996,280.30831526570154,217.026324714121
-3285.3,1006,280.2718392621064,217.02958857588794
-3428.4,1016,280.2353632585113,217.0328437261262
-3244.8,1026,280.19888725491626,217.03609016483577
-3291.1,1036,280.16241125132115,217.0393278920167
-3463.8,1046,280.12593524772603,218.4
-3292.8,1056,280.089459244131,217.04577721179248
-3116.8,1066,280.05298324053587,217.0489888043874
-3267.8,1076,280.01650723694075,217.05219168545352
-3056.7,1086,279.9800312333457,217.0553858549911
-3111.9,1096,279.9435552297506,217.058571313
-3317.2,1106,279.9070792261555,217.06174805948018
-3098.3,1116,279.8706032225604,217.06491609443165
-3117.9,1126,279.8341272189653,217.06807541785446
-3546.3,1136,279.7976512153702,217.07122602974863
-3166.0,1146,279.76117521177514,216.5
-3176.8,1156,279.72469920818,217.07750111895098
-3532.9,1166,279.73469522736866,217.0806255962591
-3264.0,1176,279.7446912465573,217.08374136203858
-3214.8,1186,279.75468726574593,217.08684841628937
-3064.9,1196,279.76468328493456,217.0899467590115
-3122.0,1206,279.7746793041232,217.09303639020493
-3129.9,1216,279.78467532331183,217.09611730986967
-3393.4,1226,279.79467134250046,217.09918951800577
-3123.4,1236,279.8046673616891,217.1022530146132
-3138.2,1246,279.81466338087773,217.10530779969199
-3013.8,1256,279.82465940006637,217.10835387324204
-3034.6,1266,279.834655419255,217.1113912352634
-2893.9,1276,279.84465143844363,217.11441988575615
-2879.1,1286,279.85464745763227,217.11743982472018
-2869.9,1296,279.86464347682085,217.1204510521556
-2943.0,1306,279.8746394960095,217.12345356806225
-2838.5,1316,279.8846355151981,217.12644737244028
-2833.6,1326,279.89463153438675,217.12943246528963
-2708.1,1336,279.9046275535754,217.1324088466103
-2846.0,1346,279.914623572764,217.13537651640235
-2817.0,1356,279.92461959195265,217.13833547466564
-2815.9,1366,279.9346156111413,217.1412857214003
-2876.2,1376,279.9446116303299,217.14422725660626
-2840.0,1386,279.95460764951855,217.14716008028364
-2820.6,1396,279.9646036687072,217.15008419243222
-2706.3,1406,279.9745996878958,217.15299959305216
-2977.2,1416,279.98459570708445,217.15590628214346
-2710.2,1426,279.9945917262731,217.15880425970605
-2790.0,1436,280.0045877454617,217.16169352574
-2680.8,1446,280.01458376465035,217.16457408024527
-2720.8,1456,280.024579783839,217.16744592322183
-2858.9,1466,280.0345758030276,217.17030905466976
-2668.7,1476,280.04457182221626,217.173163474589
-2761.3,1486,280.0545678414049,217.17600918297956
-2645.3,1496,280.0645638605935,217.17884617984143
-2599.1,1506,280.07455987978216,217.18167446517464
-2612.2,1516,280.0845558989708,217.18449403897918
-2666.9,1526,280.0945519181594,217.18730490125503
-2632.0,1536,280.10454793734806,217.19010705200225
-2526.0,1546,280.11454395653664,217.1929004912207
-2497.3,1556,280.12453997572527,216.5
-2496.8,1566,280.1345359949139,217.19846123507176
-2514.1,1575,280.14453201410254,217.20122853970426
-2507.9,1586,280.1545280332912,217.20398713280804
-2461.2,1596,280.1645240524798,217.2067370143832
-2416.0,1606,280.17452007166844,217.20947818442968
-2534.4,1616,280.1845160908571,217.21221064294747
-2496.0,1625,280.1945121100457,217.2149343899366
-2581.9,1636,280.20450812923434,217.21764942539704
-2521.6,1646,280.214504148423,217.22035574932883
-2538.4,1656,280.2245001676116,217.2230533617319
-2522.5,1666,280.23449618680024,217.22574226260636
-2518.5,1675,280.2444922059889,217.22842245195207
-2525.9,1686,279.97563219518094,217.23109392976912
-2568.1,1696,279.706772184373,217.23375669605758
-2485.0,1706,279.43791217356505,217.23641075081727
-2507.3,1716,279.1690521627571,217.23905609404832
-2531.9,1725,278.90019215194917,217.24169272575068
-2518.8,1736,278.63133214114123,217.3
-2566.7,1746,278.3624721303333,217.2469398545695
-2603.3,1756,278.09361211952535,217.2495503516858
-2526.0,1766,277.8247521087174,217.25215213727344
-2571.1,1775,277.55589209790946,217.25474521133245
-2587.2,1786,277.8139437609628,217.2573295738628
-2598.4,1796,278.0719954240161,217.25990522486447
-2538.6,1806,277.9575963392129,217.26247216433745
-2469.9,1816,277.8431972544097,217.26503039228172
-2497.1,1825,277.7287981696064,217.26757990869737
-2498.6,1836,277.6143990848032,217.27012071358433
-2528.8,1846,277.5,217.2726528069426
-2500.3,1856,277.50588235294117,217.27517618877224
-2500.0,1866,277.51176470588234,217.27769085907315
-2515.2,1875,277.5176470588235,217.2801968178454
-2483.5,1886,277.5235294117647,217.28269406508903
-2492.1,1896,277.52941176470586,217.2851826008039
-2529.0,1906,277.5352941176471,217.28766242499015
-2512.3,1916,277.54117647058825,217.29013353764773
-2500.8,1925,277.5470588235294,217.2925959387766
-2499.1,1936,277.5529411764706,217.0
-2493.8,1946,277.55882352941177,217.29749460644837
-2536.7,1956,277.56470588235294,217.2999308729912
-2431.9,1966,277.5705882352941,217.30235842800542
-2497.2,1975,277.5764705882353,217.30477727149096
-2501.4,1986,277.58235294117645,217.30718740344776
-2532.2,1996,277.5882352941176,217.30958882387594
-2520.7,2006,277.5941176470588,217.3119815327754
-2544.2,2016,277.6,217.31436553014626
-2484.9,2026,277.6058823529412,217.31674081598842
-2521.0,2036,277.61176470588236,217.3191073903019
-2485.4,2046,277.61764705882354,217.32146525308667
-2495.2,2056,277.6235294117647,217.32381440434278
-2476.6,2066,277.6294117647059,217.32615484407026
-2562.6,2076,277.63529411764705,217.32848657226904
-2483.1,2086,277.6411764705882,217.33080958893913
-2484.0,2096,277.6470588235294,217.3331238940805
-2507.1,2106,277.65294117647056,217.33542948769326
-2511.8,2116,277.65882352941173,217.33772636977739
-2487.0,2126,277.6647058823529,217.34001454033273
-2516.5,2136,277.67058823529413,217.3422939993595
-2547.2,2146,277.6764705882353,217.34456474685751
-2556.5,2156,277.6823529411765,217.34682678282692
-2563.8,2166,277.68823529411765,217.34908010726764
-2531.5,2176,277.6941176470588,217.35132472017966
-2554.7,2186,277.7,217.35356062156302
-2587.3,2196,277.70588235294116,217.35578781141766
-2593.0,2206,277.71176470588233,217.3580062897437
-2641.5,2216,277.7176470588235,217.6
-2552.3,2226,277.7235294117647,217.3624171118097
-2568.1,2236,277.72941176470584,217.36460945554967
-2600.2,2246,277.7352941176471,217.36679308776095
-2625.0,2256,277.74117647058824,217.3689680084436
-2592.1,2266,277.7470588235294,217.37113421759756
-2596.6,2276,277.7529411764706,217.37329171522285
-2626.6,2286,277.75882352941176,217.37544050131945
-2664.4,2296,277.7647058823529,217.37758057588744
-2626.8,2306,277.7705882352941,217.37971193892668
-2610.2,2316,277.77647058823527,217.38183459043725
-2687.5,2326,277.78235294117644,217.3839485304192
-2637.9,2336,277.7882352941176,217.38605375887235
-2624.3,2346,277.7941176470588,217.38815027579696
-2582.8,2356,277.79999999999995,217.39023808119288
-2602.7,2366,277.8058823529412,217.39231717506007
-2645.5,2376,277.81176470588235,217.3943875573986
-2641.1,2386,277.8176470588235,217.3964492282085
-2654.9,2396,277.8235294117647,217.3985021874897
-2593.2,2406,277.82941176470587,217.40054643524215
-2667.6,2416,277.83529411764704,217.40258197146605
-2643.6,2426,277.8411764705882,217.40460879616114
-2665.4,2436,277.8470588235294,217.40662690932768
-2676.9,2446,277.85294117647055,217.40863631096553
-2641.7,2456,277.8588235294117,217.4106370010747
-2654.9,2466,277.8647058823529,217.41262897965512
-2603.6,2476,277.8705882352941,217.4146122467069
-2607.9,2486,277.8764705882353,217.41658680223006
-2640.8,2496,277.88235294117646,217.6
-2602.4,2506,277.88823529411764,217.42050977869027
